,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
0,2018,1,12,CIRO GOMES,AC,21809,5.170729625537605
1,2018,1,12,CIRO GOMES,AL,155457,10.122572352459326
2,2018,1,12,CIRO GOMES,AM,138997,7.49879558111795
3,2018,1,12,CIRO GOMES,AP,50553,12.337312114253082
4,2018,1,12,CIRO GOMES,BA,693273,9.40854673480314
5,2018,1,12,CIRO GOMES,CE,1998597,40.95355577845376
6,2018,1,12,CIRO GOMES,DF,266272,16.595149817670986
7,2018,1,12,CIRO GOMES,ES,195553,9.543136952528563
8,2018,1,12,CIRO GOMES,GO,280864,8.602822418232847
9,2018,1,12,CIRO GOMES,MA,282472,8.389558849604702
10,2018,1,12,CIRO GOMES,MG,1278819,11.638626560538434
11,2018,1,12,CIRO GOMES,MS,112296,8.0386844149197
12,2018,1,12,CIRO GOMES,MT,91344,5.589742836581533
13,2018,1,12,CIRO GOMES,PA,415593,10.031850939053548
14,2018,1,12,CIRO GOMES,PB,362775,16.75214172512773
15,2018,1,12,CIRO GOMES,PE,640860,13.562554600678572
16,2018,1,12,CIRO GOMES,PI,211240,11.424906013868465
17,2018,1,12,CIRO GOMES,PR,510541,8.30730289150655
18,2018,1,12,CIRO GOMES,RJ,1300292,15.219854687710141
19,2018,1,12,CIRO GOMES,RN,399766,22.30522141684238
20,2018,1,12,CIRO GOMES,RO,52118,6.025891980700681
21,2018,1,12,CIRO GOMES,RR,14838,5.3607815367718255
22,2018,1,12,CIRO GOMES,RS,724429,11.368164387998561
23,2018,1,12,CIRO GOMES,SC,264312,6.681660748327197
24,2018,1,12,CIRO GOMES,SE,148526,13.024255072870448
25,2018,1,12,CIRO GOMES,SP,2650440,11.34957000192568
26,2018,1,12,CIRO GOMES,TO,54262,7.17030498440721
27,2018,1,12,CIRO GOMES,ZZ,27991,14.513712090179872
28,2018,1,13,FERNANDO HADDAD,AC,78170,18.533446505033453
29,2018,1,13,FERNANDO HADDAD,AL,687247,44.75004330143136
30,2018,1,13,FERNANDO HADDAD,AM,746998,40.300044616099235
31,2018,1,13,FERNANDO HADDAD,AP,134287,32.772350441847244
32,2018,1,13,FERNANDO HADDAD,BA,4441955,60.28266095952457
33,2018,1,13,FERNANDO HADDAD,CE,1616492,33.123783978172824
34,2018,1,13,FERNANDO HADDAD,DF,190508,11.87323038646521
35,2018,1,13,FERNANDO HADDAD,ES,495868,24.198740159324753
36,2018,1,13,FERNANDO HADDAD,GO,713535,21.855470598559357
37,2018,1,13,FERNANDO HADDAD,MA,2062638,61.26137417666509
38,2018,1,13,FERNANDO HADDAD,MG,3037957,27.648671962157007
39,2018,1,13,FERNANDO HADDAD,MS,333407,23.866866626817806
40,2018,1,13,FERNANDO HADDAD,MT,404604,24.75950594075401
41,2018,1,13,FERNANDO HADDAD,PA,1714822,41.39347556626238
42,2018,1,13,FERNANDO HADDAD,PB,984398,45.457307724987345
43,2018,1,13,FERNANDO HADDAD,PE,2309104,48.86769197429282
44,2018,1,13,FERNANDO HADDAD,PI,1172147,63.395518412411846
45,2018,1,13,FERNANDO HADDAD,PR,1210974,19.7044464827296
46,2018,1,13,FERNANDO HADDAD,RJ,1255425,14.694688632490626
47,2018,1,13,FERNANDO HADDAD,RN,738165,41.186428478568594
48,2018,1,13,FERNANDO HADDAD,RO,176107,20.361521145194654
49,2018,1,13,FERNANDO HADDAD,RR,49406,17.849762272930906
50,2018,1,13,FERNANDO HADDAD,RS,1453291,22.8058940097633
51,2018,1,13,FERNANDO HADDAD,SC,598578,15.13171981375116
52,2018,1,13,FERNANDO HADDAD,SE,571234,50.09154843122467
53,2018,1,13,FERNANDO HADDAD,SP,3833982,16.417669177616933
54,2018,1,13,FERNANDO HADDAD,TO,311212,41.12426661028595
55,2018,1,13,FERNANDO HADDAD,ZZ,19485,10.10323604291218
56,2018,1,15,HENRIQUE MEIRELLES,AC,6458,1.5311372333312785
57,2018,1,15,HENRIQUE MEIRELLES,AL,43895,2.8582200442000176
58,2018,1,15,HENRIQUE MEIRELLES,AM,23420,1.263493402805689
59,2018,1,15,HENRIQUE MEIRELLES,AP,5611,1.3693481746498535
60,2018,1,15,HENRIQUE MEIRELLES,BA,33109,0.4493288702179331
61,2018,1,15,HENRIQUE MEIRELLES,CE,27902,0.5717441351760343
62,2018,1,15,HENRIQUE MEIRELLES,DF,26939,1.6789476209974716
63,2018,1,15,HENRIQUE MEIRELLES,ES,22232,1.0849387159931836
64,2018,1,15,HENRIQUE MEIRELLES,GO,90778,2.780516596937811
65,2018,1,15,HENRIQUE MEIRELLES,MA,52214,1.5507817616374715
66,2018,1,15,HENRIQUE MEIRELLES,MG,111999,1.0193112052243078
67,2018,1,15,HENRIQUE MEIRELLES,MS,18154,1.2995500896599363
68,2018,1,15,HENRIQUE MEIRELLES,MT,16735,1.0240885703515497
69,2018,1,15,HENRIQUE MEIRELLES,PA,100724,2.431340648146695
70,2018,1,15,HENRIQUE MEIRELLES,PB,21900,1.0112932362491827
71,2018,1,15,HENRIQUE MEIRELLES,PE,32088,0.6790800674508848
